Time	PC	Instruction	ReadData1	ReadData2	ALU_Result	ALUSrc	ALUOp	RegWrite	MemRead	MemWrite	Imm
5000	0	300a	xxxx	xxxx	xxxx	1	3	1	0	0	x
15000	0	300a	0	0	fffa	1	3	1	0	0	0
25000	2	3111	0	0	1	1	3	1	0	0	0
35000	4	3223	0	0	3	1	3	1	0	0	0
45000	6	3334	0	0	4	1	3	1	0	0	0
55000	8	3446	0	0	6	1	3	1	0	0	0
65000	a	120	1	3	4	0	0	1	0	0	0
75000	c	111	4	4	0	0	0	1	0	0	1
85000	e	222	3	3	18	0	0	1	0	0	0
95000	10	333	4	4	4	0	0	1	0	0	0
105000	12	333f	4	4	3	1	3	1	0	0	0
115000	14	1130	0	3	3	1	1	1	1	0	0
125000	16	2331	3	3	4	1	2	0	0	1	0
135000	18	4332	3	3	0	0	4	0	0	0	1
145000	1e	3111	3	3	4	1	3	1	0	0	0
155000	20	3443	6	6	9	1	3	1	0	0	0
165000	22	3333	3	3	6	1	3	1	0	0	0
175000	24	6006	fffa	fffa	0	0	6	0	0	0	1
185000	32	xxxx	xxxx	xxxx	0	0	x	0	0	0	1
195000	34	xxxx	xxxx	xxxx	0	0	x	0	0	0	1
